riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
chr1:230301811-T	3E-13	-	0.4006	-	"0.03231 unit increase"	[0.022-0.042]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr2:21229160-C	3E-23	-	0.9995	-	"0.9225 unit decrease"	[0.72-1.13]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr2:45880122-G	2E-13	-	0.7017	-	"0.03643 unit decrease"	[0.026-0.047]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr2:85796101-G	2E-33	-	0.537	-	"0.05352 unit decrease"	[0.044-0.063]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr2:144174841-G	1E-13	-	0.8497	-	"0.04664 unit increase"	[0.033-0.061]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr2:212272614-G	4E-11	-	0.7003	-	"0.03364 unit decrease"	[0.023-0.045]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr2:230000383-T	2E-13	-	0.6152	-	"0.03299 unit increase"	[0.023-0.043]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr2:233667744-A	5E-18	-	0.5916	-	"0.04146 unit decrease"	[0.031-0.052]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr3:49432404-C	3E-12	-	0.8619	-	"0.0467 unit increase"	[0.032-0.061]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr3:135969755-T	5E-21	-	0.2476	-	"0.04952 unit decrease"	[0.038-0.061]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr3:153922154-T	3E-16	-	0.1437	-	"0.05541 unit decrease"	[0.04-0.07]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr4:3236135-G	1E-12	-	0.7132	-	"0.03833 unit decrease"	[0.027-0.05]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr4:57734368-A	7E-12	-	0.8433	-	"0.04491 unit decrease"	[0.03-0.06]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr4:82587050-A	4E-11	-	0.6797	-	"0.03367 unit increase"	[0.022-0.045]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr4:148378225-G	2E-25	-	0.8584	-	"0.06756 unit decrease"	[0.053-0.082]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr5:9544396-G	4E-13	-	0.8253	-	"0.04299 unit increase"	[0.03-0.056]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr5:107349711-G	2E-11	-	0.8395	-	"0.04089 unit increase"	[0.027-0.055]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr5:157002695-C	1E-13	-	0.9348	-	"0.07191 unit increase"	[0.05-0.094]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr6:34595543-T	3E-13	-	0.6295	-	"0.03462 unit decrease"	[0.024-0.045]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr6:36645203-T	3E-14	-	0.6456	-	"0.03621 unit increase"	[0.026-0.047]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr6:57135622-G	7E-13	-	0.7132	-	"0.03894 unit increase"	[0.028-0.05]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr6:82698677-A	5E-16	-	0.6125	-	"0.03917 unit decrease"	[0.029-0.05]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr6:149752522-C	4E-13	-	0.8861	-	"0.05429 unit increase"	[0.038-0.071]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr7:1899447-A	3E-12	-	0.8186	-	"0.04242 unit increase"	[0.029-0.056]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr7:19052733-G	7E-23	-	0.84	-	"0.06524 unit decrease"	[0.051-0.08]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr7:99591021-C	1E-14	-	0.7192	-	"0.03881 unit decrease"	[0.028-0.05]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr7:101635248-C	4E-11	-	0.2703	-	"0.03576 unit increase"	[0.024-0.048]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr8:19855661-A	2E-31	-	0.7353	-	"0.05974 unit increase"	[0.048-0.071]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr8:141801188-G	1E-11	-	0.7128	-	"0.0335 unit decrease"	[0.022-0.045]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr9:17454799-A	2E-11	-	0.4403	-	"0.03608 unit increase"	[0.024-0.048]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr9:22093299-A	2E-300	-	0.512	-	"0.1686 unit decrease"	[0.16-0.18]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr9:107661129-C	4E-12	-	0.8839	-	"0.05441 unit increase"	[0.038-0.071]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr9:110514626-C	1E-13	-	0.5938	-	"0.03322 unit increase"	[0.023-0.044]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr9:113232305-G	2E-14	-	0.9663	-	"0.0981 unit decrease"	[0.07-0.126]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr10:12292454-A	2E-11	-	0.3582	-	"0.03611 unit increase"	[0.025-0.048]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
chr10:44494546-G	8E-48	-	0.3466	-	"0.06884 unit decrease"	[0.058-0.08]	-	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90475936	-	39024449	"Verma A"
rs11591147-G	3E-19	-	0.9878	-	"0.2587 unit increase"	[0.19-0.33]	PCSK9	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	1:55039974	39024449	"Verma A"
rs56186267-C	3E-15	-	0.9095	-	"0.07461 unit increase"	[0.055-0.094]	PLPP3	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	1:56504746	39024449	"Verma A"
rs7528419-A	8E-58	-	0.7749	-	"0.1003 unit increase"	[0.087-0.114]	CELSR2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	1:109274570	39024449	"Verma A"
rs61812598-G	5E-11	-	0.6468	-	"0.03647 unit increase"	[0.025-0.048]	IL6R	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	1:154447611	39024449	"Verma A"
rs17163360-T	3E-25	-	0.3902	-	"0.06115 unit decrease"	[0.05-0.072]	MIA3	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	1:222647448	39024449	"Verma A"
rs16986953-G	1E-11	-	0.9061	-	"0.06191 unit decrease"	[0.045-0.079]	CISD1P1,LINC01808	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	2:19742712	39024449	"Verma A"
rs569014-G	4E-13	-	0.2783	-	"0.04642 unit decrease"	[0.035-0.058]	TDRD15,NUTF2P8	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	2:21192891	39024449	"Verma A"
rs4299376-G	1E-13	-	0.2842	-	"0.0446 unit increase"	[0.032-0.057]	ABCG8	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	2:43845437	39024449	"Verma A"
rs7568458-T	6E-21	-	0.5093	-	"0.0511 unit decrease"	[0.041-0.061]	GGCX	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	2:85561052	39024449	"Verma A"
rs957293-A	2E-14	-	0.7079	-	"0.04424 unit decrease"	[0.033-0.055]	TEX41	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	2:145075620	39024449	"Verma A"
rs1711171-T	1E-15	-	0.242	-	"0.05032 unit decrease"	[0.039-0.062]	PCCB	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	3:136301699	39024449	"Verma A"
rs72928605-A	1E-20	-	0.9034	-	"0.08326 unit decrease"	[0.067-0.099]	CARF,WDR12	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	2:202967397	39024449	"Verma A"
rs12466972-T	9E-13	-	0.5505	-	"0.03796 unit increase"	[0.027-0.049]	TNS1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	2:217819184	39024449	"Verma A"
rs10846744-G	1E-26	-	0.74	-	"0.07159 unit decrease"	[0.059-0.084]	SCARB1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	12:124827879	39024449	"Verma A"
rs9515203-T	1E-37	-	0.7356	-	"0.08046 unit increase"	[0.067-0.094]	COL4A2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	13:110397276	39024449	"Verma A"
rs35911833-C	3E-14	-	0.822	-	"0.05399 unit increase"	[0.039-0.069]	HHIPL1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	14:99649462	39024449	"Verma A"
rs56062135-C	2E-19	-	0.806	-	"0.05988 unit increase"	[0.046-0.074]	SMAD3	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	15:67163292	39024449	"Verma A"
rs7182103-G	1E-20	-	0.4389	-	"0.05094 unit decrease"	[0.041-0.061]	MORF4L1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	15:78831604	39024449	"Verma A"
rs8027450-C	1E-14	-	0.7336	-	"0.05075 unit decrease"	[0.039-0.063]	FURIN	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	15:90875164	39024449	"Verma A"
rs7188250-T	9E-17	-	0.6637	-	"0.0483 unit decrease"	[0.038-0.059]	FTO	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	16:53800695	39024449	"Verma A"
rs77870048-C	2E-12	-	0.9639	-	"0.09867 unit increase"	[0.069-0.129]	WWP2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	16:69931118	39024449	"Verma A"
rs4888372-G	6E-14	-	0.478	-	"0.04355 unit decrease"	[0.033-0.054]	RNU6-758P,BCAR1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	16:75279587	39024449	"Verma A"
rs7500448-A	1E-14	-	0.7876	-	"0.05128 unit increase"	[0.038-0.065]	CDH13	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	16:83012185	39024449	"Verma A"
rs526882-A	1E-13	-	0.6058	-	"0.04114 unit decrease"	[0.031-0.051]	FOXL1,LINC02188	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	16:86679425	39024449	"Verma A"
rs7209460-C	7E-13	-	0.2581	-	"0.04622 unit decrease"	[0.034-0.058]	SMG6	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	17:2145419	39024449	"Verma A"
rs11655587-C	5E-12	-	0.6662	-	"0.0398 unit increase"	[0.028-0.051]	IGF2BP1,B4GALNT2P1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	17:49063432	39024449	"Verma A"
rs6504213-T	7E-12	-	0.3986	-	"0.04003 unit decrease"	[0.029-0.051]	TEX2,RPL31P57	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	17:64304354	39024449	"Verma A"
rs116843064-G	6E-15	-	0.9815	-	"0.1851 unit increase"	[0.13-0.24]	ANGPTL4	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	19:8364439	39024449	"Verma A"
rs12151108-G	2E-33	-	0.8802	-	"0.09922 unit increase"	[0.082-0.117]	SMARCA4,LDLR	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	19:11086585	39024449	"Verma A"
rs11670056-C	1E-11	-	0.9337	-	"0.07289 unit decrease"	[0.054-0.092]	ELL	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	19:18479133	39024449	"Verma A"
rs73045269-C	3E-13	-	0.8742	-	"0.05831 unit decrease"	[0.044-0.073]	CCDC97,TGFB1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	19:41319286	39024449	"Verma A"
rs1065853-G	4E-28	-	0.9169	-	"0.1076 unit increase"	[0.086-0.129]	APOC1,APOE	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	19:44909976	39024449	"Verma A"
rs28451064-G	3E-29	-	0.9017	-	"0.1063 unit decrease"	[0.09-0.123]	KCNE2,LINC00310,MRPS6	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	21:34221526	39024449	"Verma A"
rs6807945-C	2E-13	-	0.1589	-	"0.0554 unit increase"	[0.04-0.071]	NME9,MRAS	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	3:138333912	39024449	"Verma A"
rs56024659-C	5E-17	-	0.8226	-	"0.05902 unit decrease"	[0.046-0.072]	RPL31P26,PRMT5P1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	4:147457452	39024449	"Verma A"
rs9349379-A	5E-59	-	0.6611	-	"0.09375 unit decrease"	[0.083-0.104]	PHACTR1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	6:12903725	39024449	"Verma A"
rs7766436-C	4E-13	-	0.6996	-	"0.04226 unit decrease"	[0.031-0.053]	CASC15	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	6:22598030	39024449	"Verma A"
rs998584-C	1E-13	-	0.5733	-	"0.04178 unit decrease"	[0.031-0.052]	VEGFA,LINC02537	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	6:43790159	39024449	"Verma A"
rs12190287-C	3E-26	-	0.6786	-	"0.06282 unit increase"	[0.051-0.075]	TARID,TCF21	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	6:133893387	39024449	"Verma A"
rs10455872-A	2E-134	-	0.9445	-	"0.279 unit decrease"	[0.26-0.3]	LPA	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	6:160589086	39024449	"Verma A"
rs2107595-G	4E-17	-	0.818	-	"0.05962 unit decrease"	[0.047-0.073]	HDAC9,TWIST1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	7:19009765	39024449	"Verma A"
rs11556924-C	4E-22	-	0.6919	-	"0.05898 unit increase"	[0.046-0.072]	ZC3HC1,UBE2H-DT	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	7:130023656	39024449	"Verma A"
rs331-G	8E-25	-	0.7159	-	"0.05732 unit increase"	[0.046-0.069]	LPL	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	8:19962894	39024449	"Verma A"
rs10808546-C	6E-19	-	0.6023	-	"0.04774 unit increase"	[0.037-0.059]	TRIB1AL	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	8:125483576	39024449	"Verma A"
rs1537371-C	3E-166	-	0.421	-	"0.1568 unit decrease"	[0.15-0.17]	CDKN2B-AS1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	9:22099569	39024449	"Verma A"
rs115478735-A	9E-12	-	0.8428	-	"0.05012 unit decrease"	[0.037-0.064]	ABO	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	9:133274295	39024449	"Verma A"
rs9337951-G	8E-12	-	0.7261	-	"0.04617 unit decrease"	[0.034-0.059]	JCAD	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	10:30028144	39024449	"Verma A"
rs494207-G	8E-34	-	0.8227	-	"0.08773 unit increase"	[0.072-0.103]	LINC00841,LINC03089	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	10:44245808	39024449	"Verma A"
rs1412444-C	4E-21	-	0.6404	-	"0.05188 unit decrease"	[0.042-0.062]	LIPA	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	10:89243170	39024449	"Verma A"
rs11191593-T	5E-15	-	0.9112	-	"0.07168 unit increase"	[0.053-0.091]	NT5C2	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	10:103179458	39024449	"Verma A"
rs10748858-T	3E-12	-	0.6422	-	"0.04169 unit increase"	[0.03-0.054]	STN1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	10:103879756	39024449	"Verma A"
rs1790304-C	1E-13	-	0.2072	-	"0.05213 unit decrease"	[0.039-0.065]	SERPINH1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	11:75570564	39024449	"Verma A"
rs974819-T	2E-17	-	0.3476	-	"0.04802 unit increase"	[0.036-0.06]	PDGFDDN	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	11:103789839	39024449	"Verma A"
rs964184-G	4E-19	-	0.1644	-	"0.06355 unit increase"	[0.049-0.078]	ZPR1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	11:116778201	39024449	"Verma A"
rs17249754-G	5E-15	-	0.8423	-	"0.05644 unit decrease"	[0.043-0.07]	ATP2B1	"Coronary atherosclerosis (PheCode 411.4)"	"coronary atherosclerosis"	-	GCST90480132	12:89666809	39024449	"Verma A"
rs17278665-G	2E-8	-	0.15	1.32	-	1.19-1.45	EFEMP1	"Chronic venous disease"	"chronic venous insufficiency,Varicose veins"	-	GCST004343	2:55868859	28374850	"Ellinghaus E"
rs727139-A	5E-11	-	0.79	1.37	-	[1.25-1.52]	KCNH8	"Chronic venous disease"	"chronic venous insufficiency,Varicose veins"	-	GCST004343	3:19293203	28374850	"Ellinghaus E"
rs2030136-C	3E-7	-	0.24	1.25	-	1.15-1.36	SKAP2	"Chronic venous disease"	"chronic venous insufficiency,Varicose veins"	-	GCST004343	7:26851397	28374850	"Ellinghaus E"
rs7596264-G	5E-6	-	0.8696	-	"0.4449 unit increase"	[0.25-0.64]	ARHGAP15	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	2:143411066	25188341	"Beecham GW"
rs62174474-C	8E-6	-	0.9439	-	"0.7084 unit decrease"	[0.4-1.02]	CALCRL-AS1	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	2:187315682	25188341	"Beecham GW"
chr3:66952276-C	8E-6	-	0.9842	-	"1.2693 unit decrease"	[0.71-1.83]	-	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	-	25188341	"Beecham GW"
rs9685722-T	6E-6	-	0.1213	-	"0.4804 unit decrease"	[0.27-0.69]	-	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	-	25188341	"Beecham GW"
rs11769293-T	1E-6	-	0.0291	-	"1.0518 unit increase"	[0.62-1.48]	CREB5,TRIL	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	7:28872190	25188341	"Beecham GW"
chr7:134674232-A	9E-6	-	0.0219	-	"1.0975 unit increase"	[0.61-1.58]	-	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	-	25188341	"Beecham GW"
rs11144781-T	3E-6	-	0.0316	-	"0.8393 unit increase"	[0.49-1.19]	PCSK5	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	9:76178505	25188341	"Beecham GW"
rs7048146-T	6E-6	-	0.3898	-	"0.2753 unit decrease"	[0.16-0.39]	PALM2AKAP2	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	9:109537042	25188341	"Beecham GW"
chr10:106180121-G	3E-6	-	0.9892	-	"2.5402 unit decrease"	[1.47-3.61]	-	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	-	25188341	"Beecham GW"
rs34660913-T	3E-6	-	0.0931	-	"0.6319 unit decrease"	[0.37-0.9]	BMAL1,RASSF10	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	11:13136463	25188341	"Beecham GW"
rs11602337-T	8E-6	-	0.2923	-	"0.2943 unit decrease"	[0.16-0.42]	RPL36AP40,LUZP2	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	11:25092235	25188341	"Beecham GW"
rs6041428-G	6E-6	-	0.9842	-	"1.256 unit decrease"	[0.71-1.8]	PA2G4P2,LINC01722	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	20:12525698	25188341	"Beecham GW"
chr3:66952276-C	2E-6	(Ordinal)	0.9841	-	"1.2763 unit decrease"	[0.75-1.8]	-	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	-	25188341	"Beecham GW"
rs11769293-T	8E-6	(Ordinal)	0.0289	-	"0.9011 unit increase"	[0.51-1.3]	CREB5,TRIL	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	7:28872190	25188341	"Beecham GW"
chr7:134674232-A	6E-6	(Ordinal)	0.0219	-	"1.0385 unit increase"	[0.59-1.49]	-	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	-	25188341	"Beecham GW"
chr8:80222312-T	9E-6	(Ordinal)	0.1612	-	"0.3494 unit decrease"	[0.20-0.50]	-	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	-	25188341	"Beecham GW"
rs11144781-T	2E-6	(Ordinal)	0.0318	-	"0.7998 unit increase"	[0.47-1.13]	PCSK5	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	9:76178505	25188341	"Beecham GW"
rs7048146-T	6E-7	(Ordinal)	0.3891	-	"0.2933 unit decrease"	[0.18-0.41]	PALM2AKAP2	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	9:109537042	25188341	"Beecham GW"
chr10:106180121-G	3E-6	(Ordinal)	0.9893	-	"2.0531 unit decrease"	[1.2-2.91]	-	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	-	25188341	"Beecham GW"
rs34660913-T	5E-6	(Ordinal)	0.0922	-	"0.6007 unit decrease"	[0.34-0.86]	BMAL1,RASSF10	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	11:13136463	25188341	"Beecham GW"
rs2018293-T	8E-6	(Ordinal)	0.185	-	"0.3091 unit increase"	[0.17-0.44]	SEZ6L	"Vascular brain injury"	"vascular brain injury measurement,vascular brain injury"	-	GCST002590	22:26308595	25188341	"Beecham GW"
rs62033406-A	6E-12	-	0.6894	-	"0.1166 unit decrease"	[0.083-0.15]	FTO	"Essential hypertension (PheCode 401.1)"	"essential hypertension"	-	GCST90475920	16:53790314	39024449	"Verma A"
